,soc
2,134.17
3,112.92
4,107.43
5,97.92
6,96.28
7,94.29
8,86.45
9,83.69
10,80.64
11,76.35
12,69.2
13,68.7
14,68.22
15,67.31
16,66.11
17,58.2
18,57.2
19,56.75
20,55.66
21,55.13
22,49.79
23,48.93
24,48.91
25,48.49
26,48.39
27,46.72
28,46.43
29,46.19
30,46.19
31,44.43
32,43.35
33,42.82
34,42.79
35,41.37
36,39.35
37,39.05
38,38.97
39,38.86
40,38.47
41,36.63
42,36.33
43,36.33
44,35.21
45,34.66
46,34.29
47,33.74
48,33.7
49,33.43
50,32.87
51,32.36
52,32.24
53,31.85
54,31.55
55,31.01
56,30.78
57,30.49
58,29.97
59,29.71
60,29.59
61,29.36
62,28.96
63,28.96
64,28.03
65,27.52
66,27.35
67,26.88
68,26.73
69,26.73
70,26.69
71,26.38
72,26.28
73,26.13
74,26.07
75,25.88
76,25.77
77,25.75
78,25.7
79,24.9
80,24.82
81,24.62
82,24.5
83,24.49
84,24.45
85,24.29
86,23.42
87,23.22
88,23.22
89,23.04
90,22.95
91,22.82
92,22.62
93,22.57
94,22.32
95,22.1
96,22.05
97,21.93
98,21.85
99,21.7
100,21.66
101,21.54
102,21.37
103,21.31
104,21.03
105,20.9
106,20.89
107,20.84
108,20.76
109,20.73
110,20.73
111,20.61
112,20.57
113,20.56
114,20.45
115,20.45
116,20.4
117,20.38
118,20.29
119,20.13
120,20.1
121,19.98
122,19.95
123,19.87
124,19.86
125,19.54
126,19.47
127,19.44
128,19.22
129,19.15
130,18.87
131,18.81
132,18.77
133,18.63
134,18.59
135,18.56
136,18.53
137,18.5
138,18.49
139,18.38
140,18.35
141,18.33
142,18.3
143,18.27
144,18.26
145,18.24
146,18.21
147,18.04
148,18.03
149,18.01
150,18
151,17.79
152,17.79
153,17.74
154,17.61
155,17.6
156,17.51
157,17.47
158,17.32
159,17.24
160,17.15
161,17.06
162,17.06
163,17.03
164,16.91
165,16.87
166,16.87
167,16.8
168,16.73
169,16.73
170,16.71
171,16.63
172,16.61
173,16.59
174,16.54
175,16.42
176,16.39
177,16.11
178,16.02
179,15.96
180,15.94
181,15.9
182,15.88
183,15.73
184,15.69
185,15.68
186,15.63
187,15.61
188,15.58
189,15.57
190,15.54
191,15.52
192,15.52
193,15.49
194,15.45
195,15.44
196,15.41
197,15.39
198,15.34
199,15.34
200,15.33
201,15.29
202,15.29
203,15.23
204,15.21
205,15.17
206,15.1
207,15.09
208,15.07
209,15.06
210,15.06
211,15
212,15
213,14.98
214,14.89
215,14.88
216,14.88
217,14.8
218,14.79
219,14.76
220,14.72
221,14.7
222,14.68
223,14.59
224,14.51
225,14.5
226,14.48
227,14.42
